DAY,LAB_TEST,CONFIRMED_CASE,FIRST_DOSE,SECOND_DOSE,DEATH_CASE
20210408,33193,6854,14804,81323,74
20210410,26077,5343,19943,136703,77
20210411,29376,5819,23657,165691,78
20210412,34968,7201,22456,138879,83
20210413,32955,6028,26750,210579,69
20210415,19959,4192,10572,196976,94
20210417,16185,3473,12157,221616,101
20210418,19404,3698,15048,214842,102
20210419,24152,4271,15057,140678,112
20210420,27056,4559,15938,170902,91
20210421,28408,4280,16817,137798,95
20210422,27429,4014,16784,151988,98
20210424,20571,2697,20194,187321,83
20210425,21922,2922,19520,171570,101
20210426,25786,3306,891,131357,97
20210427,24237,3031,325,120861,78
20210428,28206,2955,30,119071,77
20210429,24928,2341,10,107539,88
20210502,14158,1359,53,130547,69
20210503,19431,1739,10,86928,65
20210504,21984,1914,38,83540,61
20210505,20284,1742,54,103800,50
20210506,21585,1822,43,102915,41
20210508,14703,1285,2,88107,45
20210509,16915,1386,44,94655,56
20210511,14184,1230,10,97337,33
20210512,15296,1140,2,57630,40
20210523,15205,1354,59,43304,28
20210524,17683,1441,30,34853,25
20210525,16624,1675,501,33655,40
20210527,15915,1292,14,37287,22
20210529,13184,1043,738,20938,38
20210530,14277,1444,903,19459,34
20210603,16972,1687,20,9180,30
20210606,15613,1676,30,7363,38
20210619,16964,3057,4320,2589,67
20210620,22231,3641,4064,3371,82
20210621,24057,4636,6007,3003,78
20210622,25028,4846,6015,3185,76
20210623,28256,5727,5692,2901,85
20210624,30391,6058,4720,2733,81
20210626,19262,4334,6784,2116,77
20210627,24400,5268,6990,2105,119
20210628,35059,8364,4291,1218,104
20210629,31982,7666,4837,1615,112
20210630,35105,8822,4975,2249,115
20210701,32055,8301,4120,703,143
20210703,22687,6214,7949,1051,134
20210704,29879,8661,8616,743,153
20210705,34002,9964,9599,893,164
20210706,36631,11525,9116,581,163
20210707,35639,11162,10452,651,201
20210708,36850,11651,22800,723,199
20210710,27884,8772,44762,356,185
20210711,40015,11874,50281,324,230
20210712,44067,13768,69623,355,220
20210713,41755,12198,138167,293,203
20210714,42490,12383,178196,212,210
20210715,44941,12236,196633,665,226
20210717,29214,8489,182016,708,204
20210718,39806,11578,195375,967,225
20210719,45012,13321,180809,733,231
20210724,20827,6780,159663,1432,195
20210725,37587,11291,211375,3194,228
20210726,50952,15192,217058,4478,247
20210727,52478,14925,241251,5355,258
20210728,53877,16230,251741,6529,237
20210729,52282,15271,250928,7157,239
20210731,30980,9369,284725,9902,218
20210801,49529,14844,302069,12281,231
20210802,53462,15989,290685,16262,246
20210803,55284,15776,298588,23855,235
